"","Method","Taxa","Factors","Df","Fvalue","P.unadj","Significance"
"211","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales","season",1,15.2472019414745,0.000815600562501277,"***"
"212","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales","site",1,8.80973020335446,0.00733667483388414,"**"
"213","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales","Residuals",21,NA,NA,NA
"214","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales","season",1,11.8396667436928,0.00245092708773113,"**"
"215","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales","site",1,4.16187975146785,0.0541192027326601,"ns"
"216","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales","Residuals",21,NA,NA,NA
"217","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales","season",1,1.2054834122316,0.284658354125018,"ns"
"218","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales","site",1,0.227978208520161,0.637958996761156,"ns"
"219","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales","Residuals",21,NA,NA,NA
"220","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales","season",1,41.0733459272646,2.36550751789099e-06,"***"
"221","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales","site",1,11.4235191753054,0.00282854922858955,"**"
"222","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales","Residuals",21,NA,NA,NA
"223","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales","season",1,15.5981037292965,0.000733102233006845,"***"
"224","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales","site",1,0.463571275213622,0.503398628295538,"ns"
"225","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales","Residuals",21,NA,NA,NA
"226","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales","season",1,8.59580656769285,0.00796761076727469,"**"
"227","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales","site",1,1.95462707678002,0.176682280429234,"ns"
"228","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales","Residuals",21,NA,NA,NA
"229","anova formula for season+site","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales","season",1,2.81138358495087,0.108422249203615,"ns"
"230","anova formula for season+site","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales","site",1,0.2348707143631,0.6329520802428,"ns"
"231","anova formula for season+site","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales","Residuals",21,NA,NA,NA
"232","anova formula for season+site","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales","season",1,0.81457226999005,0.377008096774746,"ns"
"233","anova formula for season+site","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales","site",1,13.3642244725536,0.00147532643127009,"**"
"234","anova formula for season+site","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales","Residuals",21,NA,NA,NA
"235","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales","season",1,5.53469472191643,0.0284716568182978,"*"
"236","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales","site",1,16.5189211748989,0.000557103504820925,"***"
"237","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales","Residuals",21,NA,NA,NA
"238","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales","season",1,5.49240651754033,0.0290180687237492,"*"
"239","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales","site",1,45.4665862241092,1.13691968444384e-06,"***"
"240","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales","Residuals",21,NA,NA,NA
"241","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales","season",1,59.4090741107603,1.48775522479828e-07,"***"
"242","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales","site",1,13.2811623363543,0.00151568016402353,"**"
"243","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales","Residuals",21,NA,NA,NA
"244","anova formula for season+site","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales","season",1,1.38478396435195,0.25245475091521,"ns"
"245","anova formula for season+site","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales","site",1,3.51382097460734,0.0748378721096838,"ns"
"246","anova formula for season+site","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales","Residuals",21,NA,NA,NA
"247","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","season",1,23.502110450324,8.5904936265948e-05,"***"
"248","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","site",1,2.13742606634853,0.158547370082914,"ns"
"249","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","Residuals",21,NA,NA,NA
"250","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","season",1,1.95486651419555,0.17665691727437,"ns"
"251","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","site",1,1.19483310871779,0.286737967013131,"ns"
"252","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","Residuals",21,NA,NA,NA
"253","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","season",1,57.3761069095691,1.95472131567593e-07,"***"
"254","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","site",1,4.22474993254465,0.0524853723109614,"ns"
"255","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","Residuals",21,NA,NA,NA
"256","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","season",1,34.535255655776,7.82139834477149e-06,"***"
"257","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","site",1,3.93710515079009,0.060454194937972,"ns"
"258","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","Residuals",21,NA,NA,NA
"259","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","season",1,0.279787477379203,0.602387295895476,"ns"
"260","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","site",1,53.9924677871775,3.129971102642e-07,"***"
"261","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","Residuals",21,NA,NA,NA
"262","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","season",1,54.4962138629948,2.91414852127237e-07,"***"
"263","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","site",1,13.6369383570632,0.00135093768037481,"**"
"264","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","Residuals",21,NA,NA,NA
"265","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","season",1,87.162673349245,6.36179071009187e-09,"***"
"266","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","site",1,29.9522659185498,1.98011205346307e-05,"***"
"267","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","Residuals",21,NA,NA,NA
"268","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","season",1,0.224650639304621,0.64040979744181,"ns"
"269","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","site",1,48.8718549231023,6.66219892850253e-07,"***"
"270","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","Residuals",21,NA,NA,NA
"271","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","season",1,0.181150396128397,0.674716623055873,"ns"
"272","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","site",1,2.66570404334784,0.117437780890124,"ns"
"273","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","Residuals",21,NA,NA,NA
"274","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","season",1,51.021407566975,4.81940990085458e-07,"***"
"275","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","site",1,25.157071444647,5.77591834145526e-05,"***"
"276","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","Residuals",21,NA,NA,NA
"277","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","season",1,0.298626292653781,0.590504462483689,"ns"
"278","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","site",1,0.0932698612783195,0.763067256855998,"ns"
"279","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","Residuals",21,NA,NA,NA
"280","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","season",1,17.9248789812065,0.000371507734587244,"***"
"281","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","site",1,1.01183786057134,0.325913593198494,"ns"
"282","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","Residuals",21,NA,NA,NA
"283","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","season",1,39.4385337903489,3.14986732204894e-06,"***"
"284","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","site",1,100.117336241355,1.91763121598295e-09,"***"
"285","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","Residuals",21,NA,NA,NA
"286","anova formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","season",1,0.522450229739428,0.47777190374001,"ns"
"287","anova formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","site",1,28.5587972427873,2.67234759737617e-05,"***"
"288","anova formula for season+site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","Residuals",21,NA,NA,NA
"289","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","season",1,0.188126376859593,0.668903776444146,"ns"
"290","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","site",1,6.7163976751162,0.0170261433085748,"*"
"291","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","Residuals",21,NA,NA,NA
"292","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","season",1,0.597758264744744,0.448050450462045,"ns"
"293","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","site",1,14.9645419151554,0.000889504855589783,"***"
"294","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","Residuals",21,NA,NA,NA
"295","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","season",1,88.9486828055604,5.34731818294316e-09,"***"
"296","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","site",1,1.44982139230522,0.24195341821842,"ns"
"297","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","Residuals",21,NA,NA,NA
"298","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","season",1,11.5246390011219,0.0027312171787589,"**"
"299","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","site",1,25.2676395059437,5.62778462036655e-05,"***"
"300","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","Residuals",21,NA,NA,NA
"301","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","season",1,18.5764742883047,0.000309568283623908,"***"
"302","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","site",1,3.932059502727,0.0606058297146836,"ns"
"303","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","Residuals",21,NA,NA,NA
"304","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","season",1,51.8222690612474,4.28249883656648e-07,"***"
"305","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","site",1,2.55524794205475,0.12486707854502,"ns"
"306","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","Residuals",21,NA,NA,NA
"307","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","season",1,54.078314765898,3.09198578128624e-07,"***"
"308","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","site",1,0.445336274627303,0.511825246070732,"ns"
"309","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","Residuals",21,NA,NA,NA
"310","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","season",1,1.15289530721305,0.295127444515215,"ns"
"311","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","site",1,0.155484388503092,0.697324241082933,"ns"
"312","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","Residuals",21,NA,NA,NA
"313","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","season",1,20.1824947007569,0.000200175306469278,"***"
"314","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","site",1,60.4515163326462,1.29694332101303e-07,"***"
"315","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","Residuals",21,NA,NA,NA
"316","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","season",1,3.59495052119709,0.071799932085986,"ns"
"317","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","site",1,26.1299701817316,4.60576095480049e-05,"***"
"318","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","Residuals",21,NA,NA,NA
"319","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","season",1,43.7329110235082,1.50881803706425e-06,"***"
"320","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","site",1,13.9516310908883,0.00122156348023113,"**"
"321","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","Residuals",21,NA,NA,NA
"322","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","season",1,19.9729553217267,0.000211669182203029,"***"
"323","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","site",1,1.93861229666743,0.178388880809151,"ns"
"324","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","Residuals",21,NA,NA,NA
"325","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","season",1,17.8351146049609,0.000381059889122922,"***"
"326","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","site",1,24.1153054272736,7.40219786033378e-05,"***"
"327","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","Residuals",21,NA,NA,NA
"328","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","season",1,8.19675144573526,0.00931200546004558,"**"
"329","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","site",1,3.1441316376394,0.0907061055255881,"ns"
"330","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","Residuals",21,NA,NA,NA
"331","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","season",1,5.82641864222722,0.0250025310781778,"*"
"332","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","site",1,10.8076644615741,0.00351076558280788,"**"
"333","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","Residuals",21,NA,NA,NA
"334","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","season",1,10.5825368516794,0.00380401232607094,"**"
"335","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","site",1,23.4057218987446,8.79564517463235e-05,"***"
"336","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","Residuals",21,NA,NA,NA
"337","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","season",1,27.0290599273987,3.75254499491904e-05,"***"
"338","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","site",1,0.675759985978817,0.420286622789575,"ns"
"339","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","Residuals",21,NA,NA,NA
"340","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","season",1,12.2022778905785,0.00216693691788094,"**"
"341","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","site",1,9.44483704721843,0.00576743515287075,"**"
"342","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","Residuals",21,NA,NA,NA
"343","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","season",1,9.68555319009663,0.00527311345242072,"**"
"344","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","site",1,9.21541513757353,0.00628672608243742,"**"
"345","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","Residuals",21,NA,NA,NA
"346","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","season",1,24.5932966720712,6.60089883071826e-05,"***"
"347","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","site",1,3.27978288573683,0.0844686077286341,"ns"
"348","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","Residuals",21,NA,NA,NA
"349","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","season",1,21.5414469696048,0.000140381228787476,"***"
"350","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","site",1,3.53283329076864,0.0741128654687138,"ns"
"351","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","Residuals",21,NA,NA,NA
"352","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae","season",1,1.45953741635304,0.240433272568472,"ns"
"353","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae","site",1,1.32342088379318,0.262911014392535,"ns"
"354","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae","Residuals",21,NA,NA,NA
"355","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae","season",1,13.9227808676531,0.0012328366891643,"**"
"356","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae","site",1,24.9016769222079,6.13470898693613e-05,"***"
"357","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae","Residuals",21,NA,NA,NA
"358","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae","season",1,0.389834424838594,0.53911113900777,"ns"
"359","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae","site",1,0.253407690961296,0.619925302708986,"ns"
"360","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae","Residuals",21,NA,NA,NA
"361","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","season",1,15.2472019414745,0.000815600562501277,"***"
"362","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","site",1,8.80973020335446,0.00733667483388414,"**"
"363","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","Residuals",21,NA,NA,NA
"364","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales|f__Caldilineaceae","season",1,11.8396667436928,0.00245092708773113,"**"
"365","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales|f__Caldilineaceae","site",1,4.16187975146785,0.0541192027326601,"ns"
"366","anova formula for season+site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales|f__Caldilineaceae","Residuals",21,NA,NA,NA
"367","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae","season",1,8.54860979725973,0.00811477658644738,"**"
"368","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae","site",1,3.24925180255695,0.0858278782256789,"ns"
"369","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae","Residuals",21,NA,NA,NA
"370","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae","season",1,1.2054834122316,0.284658354125018,"ns"
"371","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae","site",1,0.227978208520161,0.637958996761156,"ns"
"372","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae","Residuals",21,NA,NA,NA
"373","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae","season",1,27.6044113082331,3.29840052834468e-05,"***"
"374","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae","site",1,7.92818029336971,0.0103581766390933,"*"
"375","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae","Residuals",21,NA,NA,NA
"376","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae","season",1,1.42516673856479,0.245866714476515,"ns"
